ts,factory,line,pass,fail,yield_pct,avail_pct,perform_pct,oee_pct
2026-09-11T11:00:00Z,Assembly,ASM01,171,5,97.21,6.67,77.6,5.03
2026-09-11T11:00:00Z,Assembly,ASM02,1574,78,95.26,71.67,76.84,52.45
2026-09-11T11:00:00Z,Assembly,ASM05,1973,27,98.63,85.0,73.54,61.65
2026-09-11T11:00:00Z,Molding,MLD03,1204,25,97.98,70.0,62.7,43.0
2026-09-11T11:00:00Z,Molding,MLD04,1760,21,98.84,73.33,73.57,53.32
2026-09-11T11:00:00Z,Molding,MLD05,765,52,93.64,51.67,54.49,26.36
2026-09-11T11:00:00Z,Molding,MLD06,805,32,96.14,61.67,50.31,29.83
2026-09-11T11:00:00Z,Coating,COT02,1810,35,98.09,80.0,72.06,56.55
2026-09-11T11:00:00Z,Coating,COT03,1093,37,96.7,60.0,62.78,36.42
2026-09-11T11:00:00Z,Packaging,PKG04,1355,92,93.66,80.0,60.28,45.17
2026-09-11T11:00:00Z,Packaging,PKG05,1172,169,87.37,100.0,51.61,45.09
2026-09-11T11:00:00Z,Packaging,PKG06,1550,133,92.1,76.67,70.8,50.0
2026-09-11T11:00:00Z,Packaging,PKG07,933,96,90.63,83.33,51.48,38.88
2026-09-11T11:00:00Z,Packaging,PKG08,1754,182,90.62,81.67,74.05,54.8
2026-09-11T11:00:00Z,Kitting,KIT03,1774,28,98.46,71.67,83.81,59.13
2026-09-11T11:00:00Z,Kitting,KIT04,2205,11,99.52,91.67,73.25,66.83
2026-09-11T11:00:00Z,Kitting,KIT07,1755,2,99.9,80.0,73.19,58.5
2026-09-11T11:00:00Z,Kitting,KIT08,1935,15,99.25,93.33,67.38,62.42
2026-09-11T12:00:00Z,Assembly,ASM01,2541,91,96.54,86.67,89.32,74.73
2026-09-11T12:00:00Z,Assembly,ASM02,2052,101,95.29,88.33,81.26,68.4
2026-09-11T12:00:00Z,Assembly,ASM05,1744,26,98.55,61.67,89.68,54.5
2026-09-11T12:00:00Z,Molding,MLD03,1876,73,96.24,96.67,72.04,67.01
2026-09-11T12:00:00Z,Molding,MLD04,2165,31,98.59,85.0,78.28,65.6
2026-09-11T12:00:00Z,Molding,MLD05,1302,76,94.5,81.67,58.17,44.89
2026-09-11T12:00:00Z,Molding,MLD06,1259,77,94.23,76.67,64.57,46.65
2026-09-11T12:00:00Z,Molding,MLD07,1073,30,97.27,60.0,70.72,41.27
2026-09-11T12:00:00Z,Coating,COT01,1126,35,96.96,76.67,63.11,46.91
2026-09-11T12:00:00Z,Coating,COT02,1706,46,97.36,66.67,82.16,53.32
2026-09-11T12:00:00Z,Coating,COT03,1681,47,97.27,91.67,62.84,56.03
2026-09-11T12:00:00Z,Packaging,PKG04,1637,104,94.01,88.33,65.71,54.57
2026-09-11T12:00:00Z,Packaging,PKG05,833,121,87.35,60.0,61.11,32.03
2026-09-11T12:00:00Z,Packaging,PKG06,802,79,91.08,33.33,85.17,25.86
2026-09-11T12:00:00Z,Packaging,PKG07,937,101,90.29,100.0,43.24,39.04
2026-09-11T12:00:00Z,Packaging,PKG08,1167,115,91.01,60.0,66.81,36.48
2026-09-11T12:00:00Z,Kitting,KIT03,1824,40,97.83,76.67,81.07,60.81
2026-09-11T12:00:00Z,Kitting,KIT04,2080,29,98.63,73.33,87.16,63.04
2026-09-11T12:00:00Z,Kitting,KIT05,1211,29,97.7,65.0,65.76,41.76
2026-09-11T12:00:00Z,Kitting,KIT07,1276,22,98.32,56.67,76.34,42.53
2026-09-11T12:00:00Z,Kitting,KIT08,1378,29,97.92,63.33,71.69,44.46
2026-09-11T13:00:00Z,Assembly,ASM02,69,2,97.27,3.33,71.23,2.31
2026-09-11T13:00:00Z,Assembly,ASM05,2605,76,97.15,100.0,83.81,81.42
2026-09-11T13:00:00Z,Molding,MLD04,1691,29,98.29,63.33,82.34,51.25
2026-09-11T13:00:00Z,Molding,MLD05,1179,57,95.42,71.67,59.43,40.64
2026-09-11T13:00:00Z,Molding,MLD06,747,39,95.02,43.33,67.22,27.68
2026-09-11T13:00:00Z,Molding,MLD07,1245,55,95.8,78.33,63.78,47.87
2026-09-11T13:00:00Z,Coating,COT01,1339,35,97.43,96.67,59.23,55.79
2026-09-11T13:00:00Z,Coating,COT02,1153,32,97.29,50.0,74.05,36.02
2026-09-11T13:00:00Z,Coating,COT03,1551,22,98.58,73.33,71.51,51.69
2026-09-11T13:00:00Z,Packaging,PKG04,1555,85,94.82,75.0,72.89,51.84
2026-09-11T13:00:00Z,Packaging,PKG05,994,152,86.74,73.33,60.11,38.24
2026-09-11T13:00:00Z,Packaging,PKG06,2268,200,91.89,100.0,79.6,73.15
2026-09-11T13:00:00Z,Packaging,PKG07,1056,100,91.33,93.33,51.64,44.02
2026-09-11T13:00:00Z,Packaging,PKG08,781,77,91.07,41.67,64.32,24.41
2026-09-11T13:00:00Z,Kitting,KIT03,2515,30,98.81,100.0,84.83,83.82
2026-09-11T13:00:00Z,Kitting,KIT04,1530,26,98.31,53.33,88.44,46.37
2026-09-11T13:00:00Z,Kitting,KIT05,1442,48,96.75,68.33,75.21,49.72
2026-09-11T13:00:00Z,Kitting,KIT07,1824,5,99.71,68.33,89.23,60.8
2026-09-11T13:00:00Z,Kitting,KIT08,1910,13,99.33,95.0,65.29,61.61
2026-09-11T14:00:00Z,Assembly,ASM02,1078,48,95.73,51.67,72.62,35.92
2026-09-11T14:00:00Z,Assembly,ASM05,2254,53,97.68,86.67,83.21,70.44
2026-09-11T14:00:00Z,Molding,MLD03,1909,41,97.88,88.33,78.86,68.19
2026-09-11T14:00:00Z,Molding,MLD04,1850,39,97.95,68.33,83.73,56.05
2026-09-11T14:00:00Z,Molding,MLD05,1456,79,94.87,100.0,52.92,50.2
2026-09-11T14:00:00Z,Molding,MLD06,1184,56,95.49,85.0,54.04,43.86
2026-09-11T14:00:00Z,Molding,MLD07,1470,68,95.55,81.67,72.45,56.53
2026-09-11T14:00:00Z,Coating,COT01,1299,56,95.9,90.0,62.72,54.13
2026-09-11T14:00:00Z,Coating,COT02,2489,99,96.16,100.0,80.9,77.79
2026-09-11T14:00:00Z,Coating,COT03,1851,55,97.09,100.0,63.55,61.7
2026-09-11T14:00:00Z,Packaging,PKG04,1395,84,94.35,73.33,67.21,46.5
2026-09-11T14:00:00Z,Packaging,PKG05,954,130,87.97,70.0,59.58,36.69
2026-09-11T14:00:00Z,Packaging,PKG06,2159,189,91.93,90.0,84.16,69.63
2026-09-11T14:00:00Z,Packaging,PKG07,792,79,90.9,85.0,42.72,33.01
2026-09-11T14:00:00Z,Packaging,PKG08,1459,173,89.38,71.67,71.16,45.58
2026-09-11T14:00:00Z,Kitting,KIT03,1846,27,98.58,73.33,85.14,61.54
2026-09-11T14:00:00Z,Kitting,KIT04,1387,15,98.93,51.67,82.21,42.02
2026-09-11T14:00:00Z,Kitting,KIT05,1434,49,96.72,71.67,71.36,49.46
2026-09-11T14:00:00Z,Kitting,KIT07,1690,2,99.9,73.33,76.91,56.35
2026-09-11T14:00:00Z,Kitting,KIT08,1465,4,99.7,70.0,67.71,47.25
2026-09-11T15:00:00Z,Assembly,ASM02,2031,99,95.34,90.0,78.88,67.69
2026-09-11T15:00:00Z,Assembly,ASM05,2107,24,98.86,85.0,78.36,65.84
2026-09-11T15:00:00Z,Molding,MLD03,1665,42,97.52,91.67,66.53,59.47
2026-09-11T15:00:00Z,Molding,MLD04,2836,47,98.38,100.0,87.37,85.95
2026-09-11T15:00:00Z,Molding,MLD05,1255,84,93.75,80.0,57.71,43.29
2026-09-11T15:00:00Z,Molding,MLD06,1082,46,95.95,70.0,59.66,40.07
2026-09-11T15:00:00Z,Molding,MLD07,1552,48,96.98,100.0,61.57,59.71
2026-09-11T15:00:00Z,Coating,COT01,1375,41,97.13,95.0,62.08,57.28
2026-09-11T15:00:00Z,Coating,COT02,1974,71,96.54,90.0,71.0,61.69
2026-09-11T15:00:00Z,Coating,COT03,1462,27,98.16,73.33,67.7,48.73
2026-09-11T15:00:00Z,Packaging,PKG05,727,116,86.26,63.33,51.2,27.97
2026-09-11T15:00:00Z,Packaging,PKG06,1722,135,92.75,76.67,78.1,55.54
2026-09-11T15:00:00Z,Packaging,PKG07,986,94,91.28,100.0,45.02,41.1
2026-09-11T15:00:00Z,Packaging,PKG08,1718,200,89.55,80.0,74.95,53.7
2026-09-11T15:00:00Z,Kitting,KIT03,1588,18,98.89,68.33,78.32,52.92
2026-09-11T15:00:00Z,Kitting,KIT04,2608,26,99.0,93.33,85.51,79.02
2026-09-11T15:00:00Z,Kitting,KIT05,1711,60,96.61,100.0,61.07,59.0
2026-09-11T15:00:00Z,Kitting,KIT07,919,9,98.98,36.67,84.39,30.63
2026-09-11T15:00:00Z,Kitting,KIT08,1551,22,98.62,75.0,67.65,50.04
2026-09-11T16:00:00Z,Assembly,ASM01,205,5,97.75,6.67,92.61,6.04
2026-09-11T16:00:00Z,Assembly,ASM02,2115,78,96.44,93.33,78.31,70.49
2026-09-11T16:00:00Z,Assembly,ASM05,1735,39,97.82,68.33,81.1,54.21
2026-09-11T16:00:00Z,Molding,MLD03,690,17,97.65,31.67,79.69,24.64
2026-09-11T16:00:00Z,Molding,MLD04,2187,21,99.05,80.0,83.64,66.27
2026-09-11T16:00:00Z,Molding,MLD05,1345,73,94.82,86.67,56.43,46.37
2026-09-11T16:00:00Z,Molding,MLD06,967,54,94.74,56.67,66.68,35.8
2026-09-11T16:00:00Z,Molding,MLD07,1264,58,95.64,76.67,66.31,48.62
2026-09-11T16:00:00Z,Coating,COT01,603,21,96.59,38.33,67.81,25.11
2026-09-11T16:00:00Z,Coating,COT02,1979,59,97.09,78.33,81.31,61.84
2026-09-11T16:00:00Z,Coating,COT03,1348,15,98.89,60.0,75.74,44.94
2026-09-11T16:00:00Z,Packaging,PKG04,1860,85,95.63,85.0,76.29,62.01
2026-09-11T16:00:00Z,Packaging,PKG05,1187,183,86.62,100.0,52.7,45.65
2026-09-11T16:00:00Z,Packaging,PKG06,1064,78,93.15,48.33,76.25,34.33
2026-09-11T16:00:00Z,Packaging,PKG07,810,92,89.82,83.33,45.06,33.73
2026-09-11T16:00:00Z,Packaging,PKG08,959,97,90.78,41.67,79.22,29.96
2026-09-11T16:00:00Z,Kitting,KIT03,2211,13,99.43,93.33,79.42,73.7
2026-09-11T16:00:00Z,Kitting,KIT04,2946,34,98.85,100.0,90.3,89.26
