factory,line,pass,fail,yield_pct,oee_pct,state,reason,duration_min
Assembly,ASM01,13220,363,97.33,55.54,Running,,0
Assembly,ASM02,9004,331,96.45,60.03,Running,,0
Assembly,ASM05,14463,360,97.57,64.56,Down,Jam,1
Molding,MLD03,9739,304,96.97,49.69,Running,,0
Molding,MLD04,7651,31,99.6,46.37,Down,Scheduled Downtime,156
Molding,MLD05,6368,403,94.05,31.38,Down,Change Over - Line clearance,59
Molding,MLD06,7150,320,95.72,44.14,Down,Scheduled Downtime,61
Molding,MLD07,5966,186,96.98,38.24,Running,,0
Coating,COT01,6797,182,97.39,47.2,Running,,0
Coating,COT02,7984,159,98.05,49.9,Down,Change Over - Line clearance,25
Coating,COT03,10639,258,97.63,50.66,Down,Change Over - Line clearance,28
Packaging,PKG04,10165,589,94.52,48.41,Running,,0
Packaging,PKG05,5522,838,86.82,35.4,Running,,0
Packaging,PKG06,11411,959,92.25,52.59,Running,,0
Packaging,PKG07,6294,657,90.55,37.47,Running,,0
Packaging,PKG08,9763,1156,89.41,50.85,Running,,0
Kitting,KIT03,13474,126,99.07,64.16,Running,,0
Kitting,KIT04,16344,145,99.12,70.75,Running,,0
Kitting,KIT05,9152,196,97.9,45.08,Down,Change Over - Line clearance,9
Kitting,KIT07,11930,86,99.28,56.81,Down,Scheduled Downtime,58
Kitting,KIT08,11272,153,98.66,51.94,Running,,0
