ts,factory,line,state,reason,duration_min
2026-08-18T15:43:09Z,Assembly,ASM01,Running,,0
2026-08-18T15:43:09Z,Assembly,ASM02,Down,Quality Hold,29
2026-08-18T15:43:09Z,Assembly,ASM05,Running,,0
2026-08-18T15:43:09Z,Molding,MLD03,Running,,0
2026-08-18T15:43:09Z,Molding,MLD04,Running,,0
2026-08-18T15:43:09Z,Molding,MLD05,Running,,0
2026-08-18T15:43:09Z,Molding,MLD06,Down,Starved - Upstream,9
2026-08-18T15:43:09Z,Molding,MLD07,Running,,0
2026-08-18T15:43:09Z,Coating,COT01,Down,Change Over - Line clearance,36
2026-08-18T15:43:09Z,Coating,COT02,Running,,0
2026-08-18T15:43:09Z,Coating,COT03,Running,,0
2026-08-18T15:43:09Z,Packaging,PKG04,Running,,0
2026-08-18T15:43:09Z,Packaging,PKG05,Down,Jam,4
2026-08-18T15:43:09Z,Packaging,PKG06,Running,,0
2026-08-18T15:43:09Z,Packaging,PKG07,Running,,0
2026-08-18T15:43:09Z,Packaging,PKG08,Running,,0
2026-08-18T15:43:09Z,Kitting,KIT03,Running,,0
2026-08-18T15:43:09Z,Kitting,KIT04,Running,,0
2026-08-18T15:43:09Z,Kitting,KIT05,Running,,0
2026-08-18T15:43:09Z,Kitting,KIT07,Running,,0
2026-08-18T15:43:09Z,Kitting,KIT08,Running,,0
